,Ciudad,Orden,Modalidad de Contratacion,Tipo de Contrato,Codigo de Categoria Principal
0,No Definido,Nacional,Contratación directa,Prestación de servicios,V1.80111500
1,Popayán,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.80111600
2,Bogotá,Corporación Autónoma,Selección abreviada subasta inversa,Otro,V1.80101509
3,Risaralda,,Mínima cuantía,Suministros,V1.80111701
4,Floridablanca,,Selección Abreviada de Menor Cuantía,Obra,V1.80101500
5,Santa Marta,,Contratación régimen especial (con ofertas),Interventoría,V1.80111604
6,Pasto,,Concurso de méritos abierto,Compraventa,V1.85101600
7,Caqueza,,Licitación pública,Arrendamiento de inmuebles,V1.86132000
8,Cartagena,,Contratación Directa (con ofertas),Consultoría,V1.80111601
9,Fundación,,Licitación pública Obra Publica,Arrendamiento de muebles,V1.80111620
10,Gachancipá,,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Seguros,V1.80101600
11,Armenia,,Enajenación de bienes con subasta,Concesión,V1.78111800
12,Chía,,No Definido,Comodato,V1.80111501
13,Entrerrios,,,Servicios financieros,V1.80111700
14,Cali,,,No Especificado,V1.86111501
15,Ibagué,,,Venta muebles,V1.77101707
16,Guadalajara De Buga,,,Operaciones de Crédito Público,V1.93151500
17,Tunja,,,Asociación Público Privada,V1.85121600
18,Tota,,,,V1.77101701
19,Manizales,,,,V1.93141811
20,Pereira,,,,V1.85101604
21,Turbaco,,,,V1.80111616
22,Valledupar,,,,V1.50131700
23,Acacías,,,,V1.85101601
24,Luruaco,,,,V1.85101509
25,Santa Rosa De Cabal,,,,V1.72103300
26,Medellín,,,,V1.72141100
27,San Miguel,,,,V1.15101505
28,Quibdó,,,,V1.93151514
29,Bucaramanga,,,,V1.80141607
30,San Onofre,,,,V1.80101706
31,Miraflores,,,,V1.25101703
32,San Gil,,,,V1.82111901
33,Gachetá,,,,V1.48101800
34,Santander De Quilichao,,,,V1.76111501
35,Bello,,,,V1.70111503
36,Fonseca,,,,V1.80161500
37,Jamundí,,,,V1.93141500
38,Villavicencio,,,,V1.82101600
39,Barranquilla,,,,V1.86101610
40,Bojacá,,,,V1.81101513
41,Puerto Asís,,,,V1.85101508
42,Socorro,,,,V1.94131607
43,San Pedro De Uraba,,,,V1.80121600
44,Guacarí,,,,V1.82141504
45,Armero,,,,V1.93141702
46,Dosquebradas,,,,V1.80161504
47,Herveo,,,,V1.85101707
48,Caldas,,,,V1.72141001
49,Girón,,,,V1.41116200
50,Pacho,,,,V1.53102102
51,Cúcuta,,,,V1.40101701
52,Nobsa,,,,V1.73131800
53,Victoria,,,,V1.86101710
54,Florida,,,,V1.93141507
55,Yopal,,,,V1.93151501
56,Girardot,,,,V1.93141701
57,Villeta,,,,V1.41115800
58,Motavita,,,,V1.53103100
59,Soacha,,,,V1.93141506
60,Cota,,,,V1.80101505
61,Barrancabermeja,,,,V1.86101800
62,Ginebra,,,,V1.15101500
63,Sincelejo,,,,V1.72101516
64,Flandes,,,,V1.72141000
65,Villa Del Rosario,,,,V1.85101701
66,Ricaurte,,,,V1.93131703
67,Albán,,,,V1.80111614
68,Cogua,,,,V1.90101800
69,Matanza,,,,V1.81111805
70,Leticia,,,,V1.80121704
71,Uribia,,,,V1.72102900
72,Palmas Del Socorro,,,,V1.41121800
73,San Vicente Del Caguán,,,,UNSPECIFIED
74,La Calera,,,,V1.90101700
75,Retiro,,,,V1.80111607
76,Los Patios,,,,V1.85101700
77,Rivera,,,,V1.41121816
78,Montería,,,,V1.15121500
79,Arbeláez,,,,V1.94132001
