;valor norm;predict
1616;-0.07790227738921973;-0.090944186
4685;-0.09188200229130021;-0.086603336
2434;-0.09397896102661228;-0.09173019
4019;-0.09100990045282542;-0.082381204
1488;-0.08640567805632522;-0.08982256
1237;-0.09453232513731963;-0.083584175
5092;-0.09171144964749484;-0.095315255
5390;-0.09526334825199093;-0.08639989
1453;-0.08576587264664;-0.08851232
2709;-0.09317512684474265;-0.09156148
2218;-0.09234799312136956;-0.092448756
4671;-0.09045490537421283;-0.07195524
6050;-0.09177995029951502;-0.091600604
1808;-0.09013453667854016;-0.097196266
1447;-0.09148403738509292;-0.09740283
3797;-0.08897719602809454;-0.08759192
6982;-0.09386246331909494;-0.077427916
5692;-0.08401840703387994;-0.080733135
5278;-0.07207739201335288;-0.076252796
3345;-0.09415370758788828;-0.046342995
4244;-0.09235789542650853;-0.088374406
5254;-0.08314467422749991;-0.049073037
1701;-0.08180216396588672;-0.08633146
3578;0.008146072491234392;-0.08498825
2429;-0.0885618176270561;-0.09280592
207;-0.09266836181704224;-0.0938672
6321;-0.09113713342409048;-0.09171196
4161;-0.08955204814095347;-0.088768564
6273;-0.08629011233046802;-0.0881235
6818;-0.09435985028134021;-0.094159976
460;0.058618473607659885;-0.074148364
4571;-0.09450355020356285;-0.08562258
3823;-0.09392071217285361;-0.09063502
4260;-0.05078161107918362;-0.07626141
1970;-0.09327997478150826;-0.08959026
2096;-0.09244486096517023;-0.092520766
897;-0.09259409452849994;-0.09314521
2762;-0.09420613155627108;-0.092033386
6064;-0.0924644908288869;-0.07142304
5108;-0.0935581037383893;-0.09315519
90;-0.09453939072328056;-0.08024726
3726;-0.05940136091922935;-0.08024033
5970;-0.09286430513620102;-0.05031591
4511;-0.09424549729661827;-0.0762537
1885;-0.08873632187310047;-0.0924441
1597;-0.0935681458407773;-0.086873986
2225;-0.09188200229130021;-0.092448756
5529;-0.0944682513981851;-0.087245874
6469;-0.09304697936647359;-0.08935663
581;-0.09100826948492018;-0.07987123
6722;-0.09301785493959425;-0.09160482
5613;-0.09211499770633488;-0.09162633
2692;-0.06449010427115662;-0.08947437
680;-0.0794065284080417;-0.094286814
469;-0.08722209399060672;-0.08650508
1500;-0.08106053024001475;-0.08632738
5414;-0.08515137636391293;-0.09209574
4895;-0.08961029699471214;-0.09578638
3057;-0.09291300700282865;-0.08632685
5716;-0.09240857192927858;-0.078276284
1076;-0.09179462901066221;-0.0699885
4270;-0.09204125465747641;-0.0874448
4111;-0.09013453667854016;-0.09601027
1842;-0.08994037402684077;-0.09194906
